"EcoSite","Plot","WaterYear","p_monsoon_D","p_winter_D","p_spring_D","p_annual_D","winter_D","spring_D"
"GLCA_B","B01",2008,431.5000115,NA,194.3000012,NA,35.499999,98.2999992
"GLCA_B","B01",2009,455.7999992,35.499999,188.9999961,810.8999991,41.1999993,114
"GLCA_B","B01",2010,468.2000085,41.1999993,224.4000015,858.0000091,32.5999996,64.7000003
"GLCA_B","B01",2011,388.2999935,32.5999996,153.5000034,737.0999992,30.2999997,99.9999981
"GLCA_B","B01",2012,421.9000092,30.2999997,192.699995,756.6000085,36.2999997,142.300005
"GLCA_B","B01",2013,446.7000008,36.2999997,264.0000019,895.4000016,48.2999992,113.8000011
"GLCA_B","B01",2014,396.6999932,48.2999992,217.3000011,824.3999919,26.8,88.5999975
"GLCA_B","B01",2015,426.0999985,26.8,179.199996,754.9999953,41.4000006,94.4999981
"GLCA_B","B01",2016,392.5000076,41.4000006,179.8000012,741.6000081,19.5999997,87.7000017
"GLCA_B","B01",2017,422.3000031,19.5999997,174.1000032,748.9000137,37.5999999,98.1000004
"GLCA_B","B01",2018,431.10001,37.5999999,206.1000004,830.0000062,62.2000008,132.3000031
"GLCA_B","B01",2019,495.8999977,62.2000008,258,967.7999974,41.7999992,82.0999994
"GLCA_B","B01",2020,478.6000062,41.7999992,141.6999979,781.3999996,38.4000006,102.1000004
"GLCA_B","B01",2021,480.8999977,38.4000006,230.0000019,883.8000041,37.7999997,134.8000031
"GLCA_B","B01",2022,423.4000016,37.7999997,258.8000031,906.1999989,53.3000002,137.6000003
"GLCA_B","B01",2023,472.5000038,53.3000002,261.9000034,916.8000049,29.5999994,54.5000005
"GLCA_B","B01",2024,452.7999877,29.5999994,155.3000036,757.8999915,NA,NA
"GLCA_B","B02",2008,434.2000009,NA,201.6000032,NA,35.3000002,94.1999998
"GLCA_B","B02",2009,459.3999977,35.3000002,189.5000029,818.8000084,38.6999993,114.6999979
"GLCA_B","B02",2010,470.0000077,38.6999993,226.8999948,864.1000042,31.6000002,59.6999983
"GLCA_B","B02",2011,397.1000099,31.6000002,154.5000014,752.5000156,31.3999996,106.7999982
"GLCA_B","B02",2012,417.8999977,31.3999996,204.1999997,769.4999913,35.1000004,142.7999973
"GLCA_B","B02",2013,443.7999915,35.1000004,266.9999942,895.6999843,47.8000002,112.1000004
"GLCA_B","B02",2014,392.6000022,47.8000002,218.1999989,823.5000048,23.8999996,91.8000012
"GLCA_B","B02",2015,425.1000101,23.8999996,187.7000027,770.4000177,41.0999994,88
"GLCA_B","B02",2016,396.8999938,41.0999994,176.1999969,743.5999898,17.4999996,85.1000004
"GLCA_B","B02",2017,429.7999992,17.4999996,180.0000019,763.9999968,36.3999991,98.1999979
"GLCA_B","B02",2018,434.4000053,36.3999991,210.8999948,839.7000069,63.2000008,134.300003
"GLCA_B","B02",2019,494.8999901,63.2000008,263.4000091,974.9000015,41.6999988,76.6000009
"GLCA_B","B02",2020,478.8999939,41.6999988,137.1000009,778.799993,32.5999996,99.2999973
"GLCA_B","B02",2021,480.9999961,32.5999996,226.3999958,876.4999935,38.5,137.3000031
"GLCA_B","B02",2022,422.2999953,38.5,261.2000046,907.600005,53.6999988,137.0000019
"GLCA_B","B02",2023,469.6000024,53.6999988,262.5000019,912.7999992,28.4000001,50.1000013
"GLCA_B","B02",2024,455.5999946,28.4000001,154.4000044,762.0000067,NA,NA
"GLCA_B","B03",2008,434.2000009,NA,201.6000032,NA,35.3000002,94.1999998
"GLCA_B","B03",2009,459.3999977,35.3000002,189.5000029,818.8000084,38.6999993,114.6999979
"GLCA_B","B03",2010,470.0000077,38.6999993,226.8999948,864.1000042,31.6000002,59.6999983
"GLCA_B","B03",2011,397.1000099,31.6000002,154.5000014,752.5000156,31.3999996,106.7999982
"GLCA_B","B03",2012,417.8999977,31.3999996,204.1999997,769.4999913,35.1000004,142.7999973
"GLCA_B","B03",2013,443.7999915,35.1000004,266.9999942,895.6999843,47.8000002,112.1000004
"GLCA_B","B03",2014,392.6000022,47.8000002,218.1999989,823.5000048,23.8999996,91.8000012
"GLCA_B","B03",2015,425.1000101,23.8999996,187.7000027,770.4000177,41.0999994,88
"GLCA_B","B03",2016,396.8999938,41.0999994,176.1999969,743.5999898,17.4999996,85.1000004
"GLCA_B","B03",2017,429.7999992,17.4999996,180.0000019,763.9999968,36.3999991,98.1999979
"GLCA_B","B03",2018,434.4000053,36.3999991,210.8999948,839.7000069,63.2000008,134.300003
"GLCA_B","B03",2019,494.8999901,63.2000008,263.4000091,974.9000015,41.6999988,76.6000009
"GLCA_B","B03",2020,478.8999939,41.6999988,137.1000009,778.799993,32.5999996,99.2999973
"GLCA_B","B03",2021,480.9999961,32.5999996,226.3999958,876.4999935,38.5,137.3000031
"GLCA_B","B03",2022,422.2999953,38.5,261.2000046,907.600005,53.6999988,137.0000019
"GLCA_B","B03",2023,469.6000024,53.6999988,262.5000019,912.7999992,28.4000001,50.1000013
"GLCA_B","B03",2024,455.5999946,28.4000001,154.4000044,762.0000067,NA,NA
"GLCA_B","B04",2008,431.9000053,NA,196.3999997,NA,35.0999992,96.1000004
"GLCA_B","B04",2009,456.8999977,35.0999992,188.2999973,812.4000003,40.1000009,112.3000021
"GLCA_B","B04",2010,469.4999961,40.1000009,223.9000006,858.9999976,31.9999993,59.7999988
"GLCA_B","B04",2011,387.6000023,31.9999993,150.7999988,737.7000048,29.4000004,100.1000032
"GLCA_B","B04",2012,421.8000031,29.4000004,194.4000063,756.8000135,35,142.3000031
"GLCA_B","B04",2013,446.199997,35,265.8000031,896.5000077,47.8000002,112.0999975
"GLCA_B","B04",2014,395.1000023,47.8000002,217.199996,823.4999905,25.8000004,88.1999998
"GLCA_B","B04",2015,426.5999985,25.8000004,180.7999983,758.2999964,41.2000008,91.5
"GLCA_B","B04",2016,394.1000138,41.2000008,178.5999985,743.1000072,17.6999995,86.2999997
"GLCA_B","B04",2017,422.7000008,17.6999995,173.2000012,749.2999991,36.5,96.9999981
"GLCA_B","B04",2018,431.199997,36.5,206.699995,830.6999884,62.4000015,131.2999973
"GLCA_B","B04",2019,496.6999969,62.4000015,257.4999942,968.9999942,41.2999997,78.1000014
"GLCA_B","B04",2020,481.5000077,41.2999997,137.6999999,782.0000073,37.3999994,99.4000015
"GLCA_B","B04",2021,482,37.3999994,229.5999984,884.8999965,37.1999998,134.3999996
"GLCA_B","B04",2022,421.0999984,37.1999998,258.7000027,904.199995,53.0999994,138.5999965
